Date,Close
9/29/17,63.74
10/2/17,64.56
10/3/17,64.29
10/4/17,64.74
10/5/17,63.8
10/6/17,64.81
10/9/17,64.15
10/10/17,65.13
10/11/17,65.11
10/12/17,65.35
10/13/17,65.29
10/16/17,63.65
10/17/17,64.18
10/18/17,63.7
10/19/17,64.67
10/20/17,64.42
10/23/17,63.75
10/24/17,63.65
10/25/17,64
10/26/17,60.95
10/27/17,59.94
10/30/17,60.84
10/31/17,61.66
11/1/17,62.16
11/2/17,62.23
11/3/17,62.22
11/6/17,61.68
11/7/17,61.91
11/8/17,62.58
11/9/17,61.99
11/10/17,60.86
11/13/17,60.99
11/14/17,61.25
11/15/17,61.07
11/16/17,61.87
11/17/17,61.32
11/20/17,60.8
11/21/17,61.24
11/22/17,61.14
11/24/17,61.43
11/27/17,61.61
11/28/17,62.52
11/29/17,62.9
11/30/17,63.19
12/1/17,63.24
12/4/17,62.47
12/5/17,62.02
12/6/17,60.97
12/7/17,61.84
12/8/17,62.42
12/11/17,63.02
12/12/17,63.28
12/13/17,63.47
12/14/17,62.13
12/15/17,62.41
12/18/17,62.4
12/19/17,61.56
12/20/17,61.2
12/21/17,61.5
12/22/17,60.96
12/26/17,61.26
12/27/17,61.68
12/28/17,61.77
12/29/17,61.28
1/2/18,61.31
1/3/18,61.36
1/4/18,61.75
1/5/18,61.89
1/8/18,61.91
1/9/18,61.85
1/10/18,62.01
1/11/18,62.47
1/12/18,62.81
1/16/18,59.92
1/17/18,61.85
1/18/18,61.83
1/19/18,62.28
1/22/18,63.28
1/23/18,63.43
1/24/18,63.76
1/25/18,63.52
1/26/18,64.25
1/29/18,64.43
1/30/18,63.96
1/31/18,62.6
2/1/18,62.8
2/2/18,63.48
2/5/18,60.96
2/6/18,60.9
2/7/18,62.63
2/8/18,62.69
2/9/18,62.7
2/12/18,63.16
2/13/18,63.87
2/14/18,65.35
2/15/18,68.98
2/16/18,68.96
2/20/18,67.35
2/21/18,66.53
2/22/18,65.94
2/23/18,67.95
2/26/18,68.63
2/27/18,67.84
2/28/18,66.2
3/1/18,65.69
3/2/18,66.17
3/5/18,66.82
3/6/18,65.47
3/7/18,66.1
3/8/18,66.75
3/9/18,67.92
3/12/18,67.45
3/13/18,66.68
3/14/18,66.63
3/15/18,66.25
3/16/18,66.6
3/19/18,66.07
3/20/18,66.43
3/21/18,66.1
3/22/18,63.95
3/23/18,62.06
3/26/18,63.4
3/27/18,62.41
3/28/18,62.57
3/29/18,63.25
4/2/18,62
4/3/18,62.77
4/4/18,62.98
4/5/18,62.31
4/6/18,60.88
4/9/18,60.48
4/10/18,61.21
4/11/18,60.18
4/12/18,58.84
4/13/18,58.65
4/16/18,54.08
4/17/18,52.38
4/18/18,52.3
4/19/18,51.61
4/20/18,51.17
4/23/18,50.9
4/24/18,51.58
4/25/18,51.76
4/26/18,52.04
4/27/18,52.27
4/30/18,52.13
5/1/18,52.69
5/2/18,51.5
5/3/18,51.45
5/4/18,51.33
5/7/18,51.32
5/8/18,50.53
5/9/18,51.09
5/10/18,51.15
5/11/18,51.86
5/14/18,52.02
5/15/18,52.3
5/16/18,52.21
5/17/18,52.74
5/18/18,52.71
5/21/18,52.24
5/22/18,52.34
5/23/18,52.5
5/24/18,52.69
5/25/18,52.77
5/29/18,52.27
5/30/18,53.02
5/31/18,52.62
6/1/18,53.13
6/4/18,51.45
6/5/18,51.92
6/6/18,52.92
6/7/18,52.62
6/8/18,53.16
6/11/18,53.12
6/12/18,53.13
6/13/18,53.46
6/14/18,53.63
6/15/18,54.8
6/18/18,53.65
6/19/18,53.64
6/20/18,54.25
6/21/18,53.94
6/22/18,55.14
6/25/18,54.67
6/26/18,54.91
6/27/18,54.47
6/28/18,55.3
6/29/18,55.34
7/2/18,55.19
7/3/18,55.65
7/5/18,55.95
7/6/18,56.56
7/9/18,56.45
7/10/18,56.18
7/11/18,55.75
7/12/18,56.81
7/13/18,56.86
7/16/18,56.43
7/17/18,56.63
7/18/18,56.88
7/19/18,56.54
7/20/18,56.71
7/23/18,55.88
7/24/18,58.26
7/25/18,59.04
7/26/18,57.92
